time	Abdomen Tapping	Approach	Female Attack	Freezing	Grooming	Leg Showcase	Mounted	Orientation	Pedipalp Insertion	Pedipalp Showcase	Random Locomotion	Retreat	Vibration interaction
2923.81	0	1	0	0	0	1	0	0	0	0	0	0	0
2923.82	0	1	0	0	0	1	0	0	0	0	0	0	0
2923.83	0	1	0	0	0	1	0	0	0	0	0	0	0
2923.84	0	1	0	0	0	1	0	0	0	0	0	0	0
2923.85	0	1	0	0	0	1	0	0	0	0	0	0	0
2923.86	0	1	0	0	0	1	0	0	0	0	0	0	0
2923.87	0	1	0	0	0	1	0	0	0	0	0	0	0
2923.88	0	1	0	0	0	1	0	0	0	0	0	0	0
2923.89	0	1	0	0	0	1	0	0	0	0	0	0	0
2923.9	0	1	0	0	0	1	0	0	0	0	0	0	0
2923.91	0	1	0	0	0	1	0	0	0	0	0	0	0
2923.92	0	1	0	0	0	1	0	0	0	0	0	0	0
2923.93	0	1	0	0	0	1	0	0	0	0	0	0	0
2923.94	0	1	0	0	0	1	0	0	0	0	0	0	0
2923.95	0	1	0	0	0	1	0	0	0	0	0	0	0
2923.96	0	1	0	0	0	1	0	0	0	0	0	0	0
2923.97	0	1	0	0	0	1	0	0	0	0	0	0	0
2923.98	0	1	0	0	0	1	0	0	0	0	0	0	0
2923.99	0	1	0	0	0	1	0	0	0	0	0	0	0
2924.0	0	1	0	0	0	1	0	0	0	0	0	0	0
2924.01	0	1	0	0	0	1	0	0	0	0	0	0	0
2924.02	0	1	0	0	0	1	0	0	0	0	0	0	0
2924.03	0	1	0	0	0	1	0	0	0	0	0	0	0
2924.04	0	1	0	0	0	1	0	0	0	0	0	0	0
2924.05	0	1	0	0	0	1	0	0	0	0	0	0	0
2924.06	0	1	0	0	0	1	0	0	0	0	0	0	0
2924.07	0	1	0	0	0	1	0	0	0	0	0	0	0
2924.08	0	1	0	0	0	1	0	0	0	0	0	0	0
2924.09	0	1	0	0	0	1	0	0	0	0	0	0	0
2924.1	0	1	0	0	0	1	0	0	0	0	0	0	0
2924.11	0	1	0	0	0	1	0	0	0	0	0	0	0
2924.12	0	1	0	0	0	1	0	0	0	0	0	0	0
2924.13	0	1	0	0	0	1	0	0	0	0	0	0	0
2924.14	0	1	0	0	0	1	0	0	0	0	0	0	0
2924.15	0	1	0	0	0	1	0	0	0	0	0	0	0
2924.16	0	1	0	0	0	1	0	0	0	0	0	0	0
2924.17	0	1	0	0	0	1	0	0	0	0	0	0	0
2924.18	0	1	0	0	0	1	0	0	0	0	0	0	0
2924.19	0	1	0	0	0	1	0	0	0	0	0	0	0
2924.2	0	1	0	0	0	1	0	0	0	0	0	0	0
2924.21	0	1	0	0	0	1	0	0	0	0	0	0	0
2924.22	0	1	0	0	0	1	0	0	0	0	0	0	0
2924.23	0	1	0	0	0	1	0	0	0	0	0	0	0
2924.24	0	1	0	0	0	1	0	0	0	0	0	0	0
2924.25	0	1	0	0	0	1	0	0	0	0	0	0	0
2924.26	0	1	0	0	0	1	0	0	0	0	0	0	0
2924.27	0	1	0	0	0	1	0	0	0	0	0	0	0
2924.28	0	1	0	0	0	1	0	0	0	0	0	0	0
2924.29	0	1	0	0	0	1	0	0	0	0	0	0	0
2924.3	0	1	0	0	0	1	0	0	0	0	0	0	0
2924.31	0	1	0	0	0	1	0	0	0	0	0	0	0
2924.32	0	1	0	0	0	1	0	0	0	0	0	0	0
2924.33	0	1	0	0	0	1	0	0	0	0	0	0	0
2924.34	0	1	0	0	0	1	0	0	0	0	0	0	0
2924.35	0	1	0	0	0	1	0	0	0	0	0	0	0
2924.36	0	1	0	0	0	1	0	0	0	0	0	0	0
2924.37	0	1	0	0	0	1	0	0	0	0	0	0	0
2924.38	0	1	0	0	0	1	0	0	0	0	0	0	0
2924.39	0	1	0	0	0	1	0	0	0	0	0	0	0
2924.4	0	1	0	0	0	1	0	0	0	0	0	0	0
2924.41	0	1	0	0	0	1	0	0	0	0	0	0	0
2924.42	0	1	0	0	0	1	0	0	0	0	0	0	0
2924.43	0	1	0	0	0	1	0	0	0	0	0	0	0
2924.44	0	1	0	0	0	1	0	0	0	0	0	0	0
2924.45	0	1	0	0	0	1	0	0	0	0	0	0	0
2924.46	0	1	0	0	0	1	0	0	0	0	0	0	0
2924.47	0	1	0	0	0	1	0	0	0	0	0	0	0
2924.48	0	1	0	0	0	1	0	0	0	0	0	0	0
2924.49	0	1	0	0	0	1	0	0	0	0	0	0	0
2924.5	0	1	0	0	0	1	0	0	0	0	0	0	0
2924.51	0	1	0	0	0	1	0	0	0	0	0	0	0
2924.52	0	1	0	0	0	1	0	0	0	0	0	0	0
2924.53	0	1	0	0	0	1	0	0	0	0	0	0	0
2924.54	0	1	0	0	0	1	0	0	0	0	0	0	0
2924.55	0	1	0	0	0	1	0	0	0	0	0	0	0
2924.56	0	1	0	0	0	1	0	0	0	0	0	0	0
2924.57	0	1	0	0	0	1	0	0	0	0	0	0	0
2924.58	0	1	0	0	0	1	0	0	0	0	0	0	0
2924.59	0	1	0	0	0	1	0	0	0	0	0	0	0
2924.6	0	1	0	0	0	1	0	0	0	0	0	0	0
2924.61	0	1	0	0	0	1	0	0	0	0	0	0	0
2924.62	0	1	0	0	0	1	0	0	0	0	0	0	0
2924.63	0	1	0	0	0	1	0	0	0	0	0	0	0
2924.64	0	1	0	0	0	1	0	0	0	0	0	0	0
2924.65	0	1	0	0	0	1	0	0	0	0	0	0	0
2924.66	0	1	0	0	0	1	0	0	0	0	0	0	0
2924.67	0	1	0	0	0	1	0	0	0	0	0	0	0
2924.68	0	1	0	0	0	1	0	0	0	0	0	0	0
2924.69	0	1	0	0	0	1	0	0	0	0	0	0	0
2924.7	0	1	0	0	0	1	0	0	0	0	0	0	0
2924.71	0	1	0	0	0	1	0	0	0	0	0	0	0
2924.72	0	1	0	0	0	1	0	0	0	0	0	0	0
2924.73	0	1	0	0	0	1	0	0	0	0	0	0	0
2924.74	0	1	0	0	0	1	0	0	0	0	0	0	0
2924.75	0	1	0	0	0	1	0	0	0	0	0	0	0
2924.76	0	1	0	0	0	1	0	0	0	0	0	0	0
2924.77	0	1	0	0	0	1	0	0	0	0	0	0	0
2924.78	0	1	0	0	0	1	0	0	0	0	0	0	0
2924.79	0	1	0	0	0	1	0	0	0	0	0	0	0
2924.8	0	1	0	0	0	1	0	0	0	0	0	0	0
2924.81	0	1	0	0	0	1	0	0	0	0	0	0	0
2924.82	0	1	0	0	0	1	0	0	0	0	0	0	0
2924.83	0	1	0	0	0	1	0	0	0	0	0	0	0
2924.84	0	1	0	0	0	1	0	0	0	0	0	0	0
2924.85	0	1	0	0	0	1	0	0	0	0	0	0	0
2924.86	0	1	0	0	0	1	0	0	0	0	0	0	0
2924.87	0	1	0	0	0	1	0	0	0	0	0	0	0
2924.88	0	1	0	0	0	1	0	0	0	0	0	0	0
2924.89	0	1	0	0	0	1	0	0	0	0	0	0	0
2924.9	0	1	0	0	0	1	0	0	0	0	0	0	0
2924.91	0	1	0	0	0	1	0	0	0	0	0	0	0
2924.92	0	1	0	0	0	1	0	0	0	0	0	0	0
2924.93	0	1	0	0	0	1	0	0	0	0	0	0	0
2924.94	0	1	0	0	0	1	0	0	0	0	0	0	0
2924.95	0	1	0	0	0	1	0	0	0	0	0	0	0
2924.96	0	1	0	0	0	1	0	0	0	0	0	0	0
2924.97	0	1	0	0	0	1	0	0	0	0	0	0	0
2924.98	0	1	0	0	0	1	0	0	0	0	0	0	0
2924.99	0	1	0	0	0	1	0	0	0	0	0	0	0
2925.0	0	1	0	0	0	1	0	0	0	0	0	0	0
2925.01	0	1	0	0	0	1	0	0	0	0	0	0	0
2925.02	0	1	0	0	0	1	0	0	0	0	0	0	0
2925.03	0	1	0	0	0	1	0	0	0	0	0	0	0
2925.04	0	1	0	0	0	1	0	0	0	0	0	0	0
2925.05	0	1	0	0	0	1	0	0	0	0	0	0	0
2925.06	0	1	0	0	0	1	0	0	0	0	0	0	0
2925.07	0	1	0	0	0	1	0	0	0	0	0	0	0
2925.08	0	1	0	0	0	1	0	0	0	0	0	0	0
2925.09	0	1	0	0	0	1	0	0	0	0	0	0	0
2925.1	0	1	0	0	0	1	0	0	0	0	0	0	0
2925.11	0	1	0	0	0	1	0	0	0	0	0	0	0
2925.12	0	1	0	0	0	1	0	0	0	0	0	0	0
2925.13	0	1	0	0	0	1	0	0	0	0	0	0	0
2925.14	0	1	0	0	0	1	0	0	0	0	0	0	0
2925.15	0	1	0	0	0	1	0	0	0	0	0	0	0
2925.16	0	1	0	0	0	1	0	0	0	0	0	0	0
