"","Behavior 0","Behavior 1","Mating ID"
"82","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g2.J124xG32"
"83","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g2.J124xG32"
"84","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g2.J124xG32"
"85","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g2.J124xG32"
"86","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g2.J124xG32"
"87","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g2.J124xG32"
"88","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g2.J124xG32"
"89","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g2.J124xG32"
"90","Leg Showcase + Mounted + Pedipalp Showcase","Leg Showcase + Mounted","g2.J124xG32"
"91","Leg Showcase + Mounted","Mounted + Freezing","g2.J124xG32"
"92","Mounted + Freezing","Leg Showcase + Mounted","g2.J124xG32"
"93","Leg Showcase + Mounted","Mounted + Freezing","g2.J124xG32"
"94","Mounted + Freezing","Leg Showcase + Mounted","g2.J124xG32"
"95","Leg Showcase + Mounted","Mounted + Freezing","g2.J124xG32"
"96","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g2.J124xG32"
"97","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g2.J124xG32"
"98","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g2.J124xG32"
