time	Abdomen Tapping	Approach	Freezing	Grooming	Leg Showcase	Mounted	Pedipalp Showcase	Retreat	Vibration interaction
3702.12	0	1	1	0	0	0	0	0	0
3702.13	0	1	1	0	0	0	0	0	0
3702.14	0	1	1	0	0	0	0	0	0
3702.15	0	1	1	0	0	0	0	0	0
3702.16	0	1	1	0	0	0	0	0	0
3702.17	0	1	1	0	0	0	0	0	0
3702.18	0	1	1	0	0	0	0	0	0
3702.19	0	1	1	0	0	0	0	0	0
3702.2	0	1	1	0	0	0	0	0	0
3702.21	0	1	1	0	0	0	0	0	0
3702.22	0	1	1	0	0	0	0	0	0
3702.23	0	1	1	0	0	0	0	0	0
3702.24	0	1	1	0	0	0	0	0	0
3702.25	0	1	1	0	0	0	0	0	0
3702.26	0	1	1	0	0	0	0	0	0
3702.27	0	1	1	0	0	0	0	0	0
3702.28	0	1	1	0	0	0	0	0	0
3702.29	0	1	1	0	0	0	0	0	0
3702.3	0	1	1	0	0	0	0	0	0
3702.31	0	1	1	0	0	0	0	0	0
3702.32	0	1	1	0	0	0	0	0	0
3702.33	0	1	1	0	0	0	0	0	0
3702.34	0	1	1	0	0	0	0	0	0
3702.35	0	1	1	0	0	0	0	0	0
3702.36	0	1	1	0	0	0	0	0	0
3702.37	0	1	1	0	0	0	0	0	0
3702.38	0	1	1	0	0	0	0	0	0
3702.39	0	1	1	0	0	0	0	0	0
3702.4	0	1	1	0	0	0	0	0	0
3702.41	0	1	1	0	0	0	0	0	0
3702.42	0	1	1	0	0	0	0	0	0
3702.43	0	1	1	0	0	0	0	0	0
3702.44	0	1	1	0	0	0	0	0	0
3702.45	0	1	1	0	0	0	0	0	0
3702.46	0	1	1	0	0	0	0	0	0
3702.47	0	1	1	0	0	0	0	0	0
3702.48	0	1	1	0	0	0	0	0	0
3702.49	0	1	1	0	0	0	0	0	0
3702.5	0	1	1	0	0	0	0	0	0
3702.51	0	1	1	0	0	0	0	0	0
3702.52	0	1	1	0	0	0	0	0	0
3702.53	0	1	1	0	0	0	0	0	0
3702.54	0	1	1	0	0	0	0	0	0
3702.55	0	1	1	0	0	0	0	0	0
3702.56	0	1	1	0	0	0	0	0	0
3702.57	0	1	1	0	0	0	0	0	0
3702.58	0	1	1	0	0	0	0	0	0
3702.59	0	1	1	0	0	0	0	0	0
3702.6	0	1	1	0	0	0	0	0	0
3702.61	0	1	1	0	0	0	0	0	0
3702.62	0	1	1	0	0	0	0	0	0
3702.63	0	1	1	0	0	0	0	0	0
3702.64	0	1	1	0	0	0	0	0	0
3702.65	0	1	1	0	0	0	0	0	0
3702.66	0	1	1	0	0	0	0	0	0
3702.67	0	1	1	0	0	0	0	0	0
3702.68	0	1	1	0	0	0	0	0	0
3702.69	0	1	1	0	0	0	0	0	0
3702.7	0	1	1	0	0	0	0	0	0
3702.71	0	1	1	0	0	0	0	0	0
3702.72	0	1	1	0	0	0	0	0	0
3702.73	0	1	1	0	0	0	0	0	0
3702.74	0	1	1	0	0	0	0	0	0
3702.75	0	1	1	0	0	0	0	0	0
3702.76	0	1	1	0	0	0	0	0	0
3702.77	0	1	1	0	0	0	0	0	0
3702.78	0	1	1	0	0	0	0	0	0
3702.79	0	1	1	0	0	0	0	0	0
3702.8	0	1	1	0	0	0	0	0	0
3702.81	0	1	1	0	0	0	0	0	0
3702.82	0	1	1	0	0	0	0	0	0
3702.83	0	1	1	0	0	0	0	0	0
3702.84	0	1	1	0	0	0	0	0	0
3702.85	0	1	1	0	0	0	0	0	0
3702.86	0	1	1	0	0	0	0	0	0
3702.87	0	1	1	0	0	0	0	0	0
3702.88	0	1	1	0	0	0	0	0	0
3702.89	0	1	1	0	0	0	0	0	0
3702.9	0	1	1	0	0	0	0	0	0
3702.91	0	1	1	0	0	0	0	0	0
3702.92	0	1	1	0	0	0	0	0	0
3702.93	0	1	1	0	0	0	0	0	0
3702.94	0	1	1	0	0	0	0	0	0
3702.95	0	1	1	0	0	0	0	0	0
3702.96	0	1	1	0	0	0	0	0	0
3702.97	0	1	1	0	0	0	0	0	0
3702.98	0	1	1	0	0	0	0	0	0
3702.99	0	1	1	0	0	0	0	0	0
3703.0	0	1	1	0	0	0	0	0	0
3703.01	0	1	1	0	0	0	0	0	0
3703.02	0	1	1	0	0	0	0	0	0
3703.03	0	1	1	0	0	0	0	0	0
3703.04	0	1	1	0	0	0	0	0	0
3703.05	0	1	1	0	0	0	0	0	0
3703.06	0	1	1	0	0	0	0	0	0
3703.07	0	1	1	0	0	0	0	0	0
3703.08	0	1	1	0	0	0	0	0	0
3703.09	0	1	1	0	0	0	0	0	0
3703.1	0	1	1	0	0	0	0	0	0
3703.11	0	1	1	0	0	0	0	0	0
3703.12	0	1	1	0	0	0	0	0	0
3703.13	0	1	1	0	0	0	0	0	0
3703.14	0	1	1	0	0	0	0	0	0
3703.15	0	1	1	0	0	0	0	0	0
3703.16	0	1	1	0	0	0	0	0	0
3703.17	0	1	1	0	0	0	0	0	0
3703.18	0	1	1	0	0	0	0	0	0
3703.19	0	1	1	0	0	0	0	0	0
3703.2	0	1	1	0	0	0	0	0	0
3703.21	0	1	1	0	0	0	0	0	0
3703.22	0	1	1	0	0	0	0	0	0
3703.23	0	1	1	0	0	0	0	0	0
3703.24	0	1	1	0	0	0	0	0	0
3703.25	0	1	1	0	0	0	0	0	0
3703.26	0	1	1	0	0	0	0	0	0
3703.27	0	1	1	0	0	0	0	0	0
3703.28	0	1	1	0	0	0	0	0	0
3703.29	0	1	1	0	0	0	0	0	0
3703.3	0	1	1	0	0	0	0	0	0
3703.31	0	1	1	0	0	0	0	0	0
3703.32	0	1	1	0	0	0	0	0	0
3703.33	0	1	1	0	0	0	0	0	0
3703.34	0	1	1	0	0	0	0	0	0
3703.35	0	1	1	0	0	0	0	0	0
3703.36	0	1	1	0	0	0	0	0	0
3703.37	0	1	1	0	0	0	0	0	0
3703.38	0	1	1	0	0	0	0	0	0
3703.39	0	1	1	0	0	0	0	0	0
3703.4	0	1	1	0	0	0	0	0	0
3703.41	0	1	1	0	0	0	0	0	0
3703.42	0	1	1	0	0	0	0	0	0
3703.43	0	1	1	0	0	0	0	0	0
3703.44	0	1	1	0	0	0	0	0	0
3703.45	0	1	1	0	0	0	0	0	0
3703.46	0	1	1	0	0	0	0	0	0
3703.47	0	1	1	0	0	0	0	0	0
3703.48	0	1	1	0	0	0	0	0	0
3703.49	0	1	1	0	0	0	0	0	0
3703.5	0	1	1	0	0	0	0	0	0
3703.51	0	1	1	0	0	0	0	0	0
3703.52	0	1	1	0	0	0	0	0	0
3703.53	0	1	1	0	0	0	0	0	0
3703.54	0	1	1	0	0	0	0	0	0
3703.55	0	1	1	0	0	0	0	0	0
3703.56	0	1	1	0	0	0	0	0	0
3703.57	0	1	1	0	0	0	0	0	0
3703.58	0	1	1	0	0	0	0	0	0
3703.59	0	1	1	0	0	0	0	0	0
3703.6	0	1	1	0	0	0	0	0	0
3703.61	0	1	1	0	0	0	0	0	0
3703.62	0	1	1	0	0	0	0	0	0
3703.63	0	1	1	0	0	0	0	0	0
3703.64	0	1	1	0	0	0	0	0	0
3703.65	0	1	1	0	0	0	0	0	0
3703.66	0	1	1	0	0	0	0	0	0
3703.67	0	1	1	0	0	0	0	0	0
