"","experiment","Female","Male","Female.species","Male.species","Species.cross","Date","Narration.ID","Experiment.ended.early..T.F.","Reason.early.end","Notes","Mesh.design","Two.Cameras..T.F.","Female.left.overnight","Backed.up.on.University.server","Palp.Broken","Which.Palp.Broken","female.last.moult","female.days.since.last.moult","male.last.moult","male.day.since.last.moult","X","lag.period.duration","number.of.attacks","number.of.recoils","number.of.flees","number.of.courtships","total.courtship.duration","mean.courtship.length","number.of.mounts","total.mount.duration","mean.mount.length","copulation","copulation.pedipalps.used","duration.of.left.copulation","duration.of.right.copulation","attempted.copulation","attempt.pedipalps.used","pre.copulatory.kill","post.copulatory.kill","cannibalism","duration.of.trial","trial.cut.short","latency.to.attack","latency.to.mount","latency.to.touch","latency.to.copulate","uneventful","complete","malematedbefore","femalematedbefore"
"80","Set #01 Focal J191 x Non-focal J109","J191","J109","Dolomedes minor","Dolomedes minor","minor x minor",2021-05-13,"Only Trial",FALSE,"Na","Trialling high speed capture, unsure of date: after 07/05, but likely before 15/05, date inferred from earliest modication date in files 13/05. Not 100% sure of pedipalp used for copulation, seems like left, but at the time I noted right","Top mesh",TRUE,"T",TRUE,"T","Right","3/04/2021",40,"22/03/2021",52,81,2915.064,0,6,0,9,6398.395,710.932777777778,7,2402.181,343.168714285715,TRUE,"left",3.51299999999901,NA,TRUE,"both",FALSE,FALSE,FALSE,14533.92,FALSE,NA,8691.95,5528.412,11996.346,FALSE,TRUE,FALSE,TRUE
"83","Set #01 Non-focal J145 x Focal J68","J145","J68","Dolomedes minor","Dolomedes minor","minor x minor",2021-05-15,"2",TRUE,"Kill","","Top mesh",TRUE,"T",TRUE,"T","Both","16/04/2021",29,"24/11/2020",172,84,242.422,1,1,0,8,5131.408,641.426,13,3653.63,281.048461538461,TRUE,"right",NA,0.3700000000008,TRUE,"right",FALSE,TRUE,TRUE,5919.84,TRUE,1944.866,836.381,643.399,5664.574,FALSE,TRUE,TRUE,FALSE
"87","Set #02 Focal J190 x Non-focal J120","J190","J120","Dolomedes minor","Dolomedes minor","minor x minor",2021-05-15,"1",FALSE,"Na","","Top mesh",TRUE,"T",FALSE,"","","15/04/2021",30,"26/03/2021",50,88,NA,0,0,0,0,NA,NA,0,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14504.64,FALSE,NA,NA,NA,NA,TRUE,TRUE,FALSE,TRUE
"78","Set #01 Focal J191 x Non-focal G16","J191","G16","Dolomedes minor","Dolomedes minor","minor x minor",2021-05-18,"2",FALSE,"Na","Trialling high speed capture","Top mesh",TRUE,"T",TRUE,"F",NA,"3/04/2021",45,"19/04/2021",29,79,3407.768,1,0,1,1,115.601,115.601,0,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14554.56,FALSE,3516.579,NA,NA,NA,FALSE,TRUE,FALSE,TRUE
"84","Set #01.5 Focal Male J109 Non- Focal H60 x Focal J109","H60","J109","Dolomedes minor","Dolomedes minor","minor x minor",2021-05-20,"2",FALSE,"Na","","Top mesh",TRUE,"T",TRUE,"T","Right","12/03/2021",69,"22/03/2021",59,85,1843.131,1,0,1,4,12054.01,3013.5025,5,9629.476,1925.8952,TRUE,"right",NA,0.320000000000164,FALSE,NA,FALSE,FALSE,FALSE,14536.32,FALSE,3499.211,2372.556,2253.618,3498.891,FALSE,TRUE,TRUE,FALSE
"88","Set #02 Focal J190 x Non-focal J150","J190","J150","Dolomedes minor","Dolomedes minor","minor x minor",2021-05-20,"1",FALSE,"Na","","Top mesh",TRUE,"T",TRUE,"","","15/04/2021",35,"19/03/2021",62,89,10323.519,2,1,7,3,1712.052,570.684,0,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14494.56,FALSE,11931.444,NA,11575.422,NA,FALSE,TRUE,FALSE,TRUE
"31","Attempt 31 J182 x J133","J182","J133","Dolomedes minor","Dolomedes minor","minor x minor",2021-05-21,"1",FALSE,"Na","","Top mesh",TRUE,"T",FALSE,"F",NA,"15/04/2021",36,"10/03/2021",72,31,NA,0,0,0,0,NA,NA,0,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14472.96,FALSE,NA,NA,NA,NA,TRUE,TRUE,FALSE,FALSE
"95","Set #03 Focals J189 x J112","J189","J112","Dolomedes minor","Dolomedes minor","minor x minor",2021-05-21,"2",FALSE,"Na","","Top mesh",TRUE,"T",TRUE,"F",NA,"15/04/2021",36,"30/03/2021",52,96,2729.858,1,0,2,5,6582.636,1316.5272,12,4805.296,400.441333333333,TRUE,"left",0.34900000000016,NA,TRUE,"left",FALSE,FALSE,FALSE,14428.8,FALSE,9386.559,3918.12,3811.163,9386.309,FALSE,TRUE,FALSE,FALSE
"81","Set #01 Focal J191 x Non-focal J132","J191","J132","Dolomedes minor","Dolomedes minor","minor x minor",2021-05-24,"2",FALSE,"Na","","Top mesh",FALSE,"T",TRUE,"T","Both","3/04/2021",51,"7/04/2021",47,82,NA,0,0,0,0,NA,NA,0,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14445.6,FALSE,NA,NA,NA,NA,FALSE,TRUE,FALSE,TRUE
"85","Set #01.5 Focal Male J109 Non-focal J157 x Focal J109","J157","J109","Dolomedes minor","Dolomedes minor","minor x minor",2021-05-24,"3",FALSE,"Na","","Top mesh",FALSE,"T",FALSE,"T","Right","15/04/2021",39,"22/03/2021",63,86,NA,0,0,0,0,NA,NA,0,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14446.56,FALSE,NA,NA,NA,NA,TRUE,TRUE,TRUE,FALSE
"86","Set #02 Focal J190 x Non-focal H46","J190","H46","Dolomedes minor","Dolomedes minor","minor x minor",2021-05-24,"1",FALSE,"Na","No damage to male emboli after trial. Two attempted copulations that look like they could be copulations though, both bookmarked","Top mesh",FALSE,"T",TRUE,"F",NA,"15/04/2021",39,"12/04/2021",42,87,3154.609,2,0,5,14,10575.23,755.373571428571,27,5233.116,193.819111111111,FALSE,NA,NA,NA,TRUE,"both",FALSE,FALSE,FALSE,14518.56,FALSE,5991.221,3769.269,3423.471,NA,FALSE,TRUE,FALSE,TRUE
"92","Set #03 Focal J189 x Non-focal H38","J189","H38","Dolomedes minor","Dolomedes minor","minor x minor",2021-05-25,"1",FALSE,"Na","","Top mesh",TRUE,"T",TRUE,"F",NA,"15/04/2021",40,"9/04/2021",46,93,NA,3,0,3,0,NA,NA,0,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14484.96,FALSE,NA,NA,NA,NA,FALSE,TRUE,FALSE,TRUE
"98","Set #03 Non-focal J137 x Focal J112","J137","J112","Dolomedes minor","Dolomedes minor","minor x minor",2021-05-25,"2",FALSE,"Na","male damage to right palp","Top mesh",TRUE,"T",TRUE,"F",NA,"14/04/2021",41,"30/03/2021",56,99,7023.34,1,0,2,3,6871.013,2290.33766666667,9,4299.674,477.741555555556,FALSE,NA,NA,NA,TRUE,"left",FALSE,FALSE,FALSE,14491.2,FALSE,13609.605,7997.247,7732.135,NA,FALSE,TRUE,TRUE,FALSE
"32","Attempt 32 J125 x J203","J125","J203","Dolomedes minor","Dolomedes minor","minor x minor",2021-05-27,"2",FALSE,"Na","","Top mesh",TRUE,"T",TRUE,"T","Left","15/04/2021",42,"21/04/2021",36,32,3199.744,1,0,1,1,41.9569999999999,41.9569999999999,0,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14504.16,FALSE,3233.892,NA,NA,NA,FALSE,TRUE,FALSE,FALSE
"33","Attempt 33 J123 x H52","J123","H52","Dolomedes minor","Dolomedes minor","minor x minor",2021-05-27,"1",FALSE,"Na","","Top mesh",TRUE,"T",TRUE,"","","21/04/2021",36,"7/04/2021",50,33,5941.605,0,0,4,6,8255.341,1375.89016666667,32,3235.856,101.1205,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14520,FALSE,NA,7774.857,6860.615,NA,FALSE,TRUE,FALSE,FALSE
"91","Set #03 Focal J189 x Non-focal H37","J189","H37","Dolomedes minor","Dolomedes minor","minor x minor",2021-05-28,"1",FALSE,"Na","","Top mesh",TRUE,"T",TRUE,"F",NA,"15/04/2021",43,"12/03/2021",77,92,4867.904,0,0,2,3,3025.227,1008.409,0,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14456.64,FALSE,NA,NA,NA,NA,FALSE,TRUE,FALSE,TRUE
"96","Set #03 Non-focal J108 x Focal J112","J108","J112","Dolomedes minor","Dolomedes minor","minor x minor",2021-05-28,"2",FALSE,"Na","male damage to right palp","Top mesh",TRUE,"T",TRUE,"F",NA,"15/04/2021",43,"30/03/2021",59,97,4047.433,0,0,2,2,1359.402,679.701,0,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14461.92,FALSE,NA,NA,NA,NA,FALSE,TRUE,TRUE,FALSE
"94","Set #03 Focal J189 x Non-focal J119","J189","J119","Dolomedes minor","Dolomedes minor","minor x minor",2021-06-04,"1",FALSE,"Na","","Top mesh",TRUE,"T",TRUE,"F",NA,"15/04/2021",50,"19/03/2021",77,95,6166.874,1,0,6,7,6762.928,966.132571428572,11,4512.547,410.231545454545,TRUE,"left",0.219999999999345,NA,FALSE,NA,FALSE,FALSE,FALSE,14517.12,FALSE,13756.572,8202.557,7919.509,13756.362,FALSE,TRUE,FALSE,TRUE
"97","Set #03 Non-focal J126 x Focal J112","J126","J112","Dolomedes minor","Dolomedes minor","minor x minor",2021-06-04,"2",FALSE,"Na","male damage to right palp","Top mesh",TRUE,"T",FALSE,"F",NA,"15/04/2021",50,"30/03/2021",66,98,NA,0,0,0,0,NA,NA,0,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14475.84,FALSE,NA,NA,NA,NA,TRUE,TRUE,TRUE,FALSE
"34","Attempt 34 J61 x J149","J61","J149","Dolomedes minor","Dolomedes minor","minor x minor",2021-06-07,"1",FALSE,"Na","","Top mesh",TRUE,"T",FALSE,"","","3/04/2021",65,"17/03/2021",82,34,NA,0,0,0,0,NA,NA,0,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14477.28,FALSE,NA,NA,NA,NA,TRUE,TRUE,FALSE,FALSE
