"","Behavior 0","Behavior 1","Mating ID"
"370","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.G30xJ210"
"371","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.G30xJ210"
"372","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.G30xJ210"
"373","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.G30xJ210"
"374","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.G30xJ210"
"375","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.G30xJ210"
"376","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.G30xJ210"
"377","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.G30xJ210"
"378","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.G30xJ210"
"379","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.G30xJ210"
"380","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.G30xJ210"
"381","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.G30xJ210"
"382","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.G30xJ210"
"383","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.G30xJ210"
"384","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.G30xJ210"
"385","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.G30xJ210"
"386","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.G30xJ210"
"387","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.G30xJ210"
"388","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.G30xJ210"
"389","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.G30xJ210"
"390","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.G30xJ210"
"391","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.G30xJ210"
"392","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.G30xJ210"
"393","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.G30xJ210"
"394","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.G30xJ210"
"395","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.G30xJ210"
"396","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.G30xJ210"
"397","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.G30xJ210"
"398","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.G30xJ210"
"399","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.G30xJ210"
"400","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.G30xJ210"
"401","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.G30xJ210"
"402","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.G30xJ210"
"403","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.G30xJ210"
"404","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.G30xJ210"
"405","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.G30xJ210"
"406","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.G30xJ210"
"407","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.G30xJ210"
"408","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.G30xJ210"
"409","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.G30xJ210"
"410","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.G30xJ210"
"411","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.G30xJ210"
"412","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.G30xJ210"
"413","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.G30xJ210"
"414","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.G30xJ210"
"415","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.G30xJ210"
"416","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.G30xJ210"
"417","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.G30xJ210"
"418","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.G30xJ210"
"419","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.G30xJ210"
"420","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.G30xJ210"
"421","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.G30xJ210"
"422","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.G30xJ210"
"423","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.G30xJ210"
"424","Mounted + Freezing","Retreat","g1.G30xJ210"
